floor,gender,time,comments
1,M,2023-04-07T15:44:43.110Z,雪中紅，萬千花蕊慈母悲哀、空笑夢、夢中的情話、鳳飛飛版的望春風
2,M,2023-04-07T16:13:43.458Z,黃乙玲的歌
3,F,2023-04-07T16:21:03.353Z,茄子蛋 浪流連
4,F,2023-04-07T16:27:59.345Z,江蕙 落雨聲
5,M,2023-04-07T16:42:11.908Z,蘇打綠 無眠
6,M,2023-04-07T17:36:01.380Z,萬千花蕊慈母悲哀、閣愛你一擺、海上的人、暗流、長途夜車、想你點菸、無字的情批、無眠、純情夢（必順鄉村）、愛我你會死、細粒的目睭、陸橋（先知瑪莉）、好野（宇宙人）
7,F,2023-04-07T22:19:58.462Z,查某囡仔
8,F,2023-04-07T22:41:20.869Z,"彼個所在！雖然不完全是台語
但魏如萱ㄉ歌真ㄉ都好喜歡🥹😻"
9,,2023-04-08T00:27:44.908Z,
10,M,2023-04-08T01:57:18.874Z,滅火器 長途夜車、島嶼天光
11,M,2023-04-08T03:05:11.842Z,舊情綿綿
12,F,2023-04-08T06:45:12.054Z,萬千花蕊慈母悲哀 浪流連 若是明仔載
13,M,2023-04-08T07:36:51.395Z,決心-許富凱、重出江湖-袁小迪、失去你的夢、行棋、煙花、向前走、雙雙對對、龍飛鳳舞-蔡佳麟
14,F,2023-04-08T08:58:23.356Z,繁華攏是夢 盧廣仲版的
15,M,2023-04-08T08:58:24.152Z,謝和弦-你甘攏袂不甘
16,F,2023-04-08T09:49:27.117Z,五月天 永遠的永遠
17,F,2023-04-08T11:29:54.825Z,"若是明仔載
https://youtu.be/1nFImzIyYCw
鹹汫
https://youtu.be/CTY_8TTz70A"
18,M,2023-04-08T12:20:10.799Z,"美秀集團 心悶
珂拉琦 藏予規路火烌猶在
茄子蛋 浪流連
台語新浪潮 公堂亂（冷門但超推）"
19,F,2023-04-08T12:46:34.385Z,上水的花！
