,title,href,susbtitle,num_of_hearts
0,SPLIT 3in1 CD播放機,https://www.dcard.tw/f/talk/p/241958033,在嘖嘖預購的SPLIT 3in1 CD播放機（價錢2659元）寄來了，可以聽臺語專輯了，放上彭佳慧的臺語專輯「我在客廳做的夢」來聽🥳,3
1,彭佳慧的臺語專輯,https://www.dcard.tw/f/talk/p/241836547,彭佳慧最新的這張臺語專輯是不是銷量不太好？因為我滿愛聽臺語歌的，所以有買彭佳慧這張臺語專輯，也有人買這張臺語專輯來聽的嗎？,6
2,不放棄歌手的夢，大家覺得我有潛力嗎？,https://www.dcard.tw/f/talk/p/241640972,之前被說適合唱台語歌，這次錄了一小段，想請問大家，我的音質跟唱歌的感覺，有機會當歌手嗎？可以努力嗎？,6
3,請問這是什麼歌 有人聽得出來嗎😭,https://www.dcard.tw/f/talk/p/241562703,突然很想聽這首台語歌，但卻不知道歌名，有厲害的人可以聽得出來嗎，真的唱給Google 100次了，（可能真的太不像原唱），希望有人可以幫忙🥺,0
4,找歌 台語歌,https://www.dcard.tw/f/music/p/241157503,媽媽在燈會聽到一首歌 但我找不到，有大大知道這什麼歌嗎,1
5,找歌,https://www.dcard.tw/f/music/p/240884111,台語歌的旋律好像有點年代…，但不知道什麼歌估狗搜尋歌詞都搜不到那首QQ，「哇洗雲，山水流，留到我家的門卡靠。」男女對唱，憑零星記憶聽出一點點詞而已,1
6,#閒聊 妮可駕到！,https://www.dcard.tw/f/entertainer/p/240766529,又是我啦～因為看到KARA回歸覺得超感動就翻了舊MV來看，結果在《STEP》MV發現妮可的造型某些角度讓我想到秀卿姐（抱歉妮可還有KAMILIA），所以就把《辣妹駕到》跟《STEP》拼湊起來了...,36
7,大家都聽哪些台語歌？,https://www.dcard.tw/f/music/p/240667175,台語情歌我偏愛看似輕描淡寫的唱腔，但半夜會聽到讓人默默流淚的那種。茄子蛋《閣愛妳一擺》這類撕心裂肺的情歌我喜歡，但不會很常聽，覺得太慷慨激昂了。珂拉琪、淺堤、滅火器、旺福也都聽，但我的歌單比較多5～1,7
8,今天田中馬拉松 快到終點時 美美搖滾車 所演唱的歌曲 （台語歌，背景聲有點大，希望有人知道，謝謝）,https://www.dcard.tw/f/music/p/240505774,,0
9,去KTV必點的哪些台語歌,https://www.dcard.tw/f/talk/p/240217275,新租屋處附近不知道是不是年齡層比較大，街底有一戶很喜歡唱卡啦OK，而且都在下午時段，台語歌一首接著一首，聽得我也想加入了，而且都是那種很經典的台語歌，大家如果去KTV的話，哪些台語歌是必點的？我自己最,2
